D 20:42:20.2219282 GameState.DebugPrintPowerList() - Count=154
D 20:42:20.2289615 GameState.DebugPrintPower() - CREATE_GAME
D 20:42:20.2359740 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 20:42:20.2419556 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 20:42:20.2479228 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 20:42:20.2519597 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 20:42:20.2579615 GameState.DebugPrintPower() -         tag=937 value=2890
D 20:42:20.2619566 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=32311514]
D 20:42:20.2669568 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 20:42:20.2709619 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 20:42:20.2759259 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 20:42:20.2809272 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=81
D 20:42:20.2869223 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 20:42:20.2929393 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 20:42:20.2999376 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 20:42:20.3069275 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 20:42:20.3149537 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 20:42:20.3209309 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 20:42:20.3279278 GameState.DebugPrintPower() -     Player EntityID=3 PlayerID=2 GameAccountId=[hi=0 lo=0]
D 20:42:20.3349326 GameState.DebugPrintPower() -         tag=CONTROLLER value=2
D 20:42:20.3419255 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 20:42:20.3469579 GameState.DebugPrintPower() -         tag=PLAYER_ID value=2
D 20:42:20.3539671 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=83
D 20:42:20.3609259 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 20:42:20.3669280 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 20:42:20.3749812 GameState.DebugPrintPower() -         tag=TEAM_ID value=2
D 20:42:20.3799251 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 20:42:20.3869229 GameState.DebugPrintPower() -         tag=ENTITY_ID value=3
D 20:42:20.3929247 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 20:42:20.3979248 GameState.DebugPrintPower() -         tag=1140 value=1
D 20:42:20.4049378 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=4 CardID=CS2_201
D 20:42:20.4109267 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 20:42:20.4169262 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 20:42:20.4249291 GameState.DebugPrintPower() -     tag=COST value=7
D 20:42:20.4589252 GameState.DebugPrintPower() -     tag=HEALTH value=5
D 20:42:20.4659451 GameState.DebugPrintPower() -     tag=ATK value=9
D 20:42:20.4749425 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 20:42:20.4799259 GameState.DebugPrintPower() -     tag=ENTITY_ID value=4
D 20:42:20.4889282 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 20:42:20.4939319 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=7
D 20:42:20.5009294 GameState.DebugPrintPower() -     tag=479 value=9
D 20:42:20.5069256 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=5 CardID=CS1_130
D 20:42:20.5129385 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 20:42:20.5199248 GameState.DebugPrintPower() -     tag=CARDTYPE value=SPELL
D 20:42:20.5249456 GameState.DebugPrintPower() -     tag=COST value=1
D 20:42:20.5309285 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 20:42:20.5379237 GameState.DebugPrintPower() -     tag=ENTITY_ID value=5
D 20:42:20.5429241 GameState.DebugPrintPower() -     tag=FACTION value=NEUTRAL
D 20:42:20.5469235 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 20:42:20.5529269 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=1
D 20:42:20.5589221 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=6 CardID=CS2_004
D 20:42:20.5639236 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 20:42:20.5699240 GameState.DebugPrintPower() -     tag=CARDTYPE value=SPELL
D 20:42:20.5749260 GameState.DebugPrintPower() -     tag=COST value=1
D 20:42:20.5799263 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 20:42:20.5869418 GameState.DebugPrintPower() -     tag=ENTITY_ID value=6
