D 10:16:05.5450479 GameState.DebugPrintPowerList() - Count=148
D 10:16:05.5551190 GameState.DebugPrintPower() - CREATE_GAME
D 10:16:05.5641209 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 10:16:05.5811050 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 10:16:05.5941045 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:16:05.6090459 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 10:16:05.6181099 GameState.DebugPrintPower() -         tag=937 value=2890
D 10:16:05.6240465 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=32311514]
D 10:16:05.6320477 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:16:05.6380478 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 10:16:05.6450453 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 10:16:05.6520457 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=74
D 10:16:05.6590451 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 10:16:05.6650467 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 10:16:05.6710503 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 10:16:05.6780453 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:16:05.6850452 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 10:16:05.6911064 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 10:16:05.6970474 GameState.DebugPrintPower() -     Player EntityID=3 PlayerID=2 GameAccountId=[hi=0 lo=0]
D 10:16:05.7040449 GameState.DebugPrintPower() -         tag=CONTROLLER value=2
D 10:16:05.7140446 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 10:16:05.7210455 GameState.DebugPrintPower() -         tag=PLAYER_ID value=2
D 10:16:05.7271199 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=76
D 10:16:05.7331118 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 10:16:05.7400442 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 10:16:05.7470456 GameState.DebugPrintPower() -         tag=TEAM_ID value=2
D 10:16:05.7541022 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:16:05.7600452 GameState.DebugPrintPower() -         tag=ENTITY_ID value=3
D 10:16:05.7661020 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 10:16:05.7730452 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=4 CardID=CS2_025
D 10:16:05.7800436 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 10:16:05.7891018 GameState.DebugPrintPower() -     tag=CARDTYPE value=SPELL
D 10:16:05.7951244 GameState.DebugPrintPower() -     tag=COST value=2
