D 15:12:29.5855522 GameState.DebugPrintPowerList() - Count=149
D 15:12:29.6046599 GameState.DebugPrintPower() - CREATE_GAME
D 15:12:29.6169486 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 15:12:29.6330849 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 15:12:29.6452050 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 15:12:29.6619031 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 15:12:29.6746838 GameState.DebugPrintPower() -         tag=937 value=2890
D 15:12:29.6881504 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=32311514]
D 15:12:29.7015526 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 15:12:29.7145982 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 15:12:29.7279966 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 15:12:29.7393394 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=59
D 15:12:29.7514092 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 15:12:29.7644162 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 15:12:29.7774897 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 15:12:29.7904187 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 15:12:29.8020883 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 15:12:29.8129842 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 15:12:29.8256201 GameState.DebugPrintPower() -     Player EntityID=3 PlayerID=2 GameAccountId=[hi=0 lo=0]
D 15:12:29.8378104 GameState.DebugPrintPower() -         tag=CONTROLLER value=2
D 15:12:29.8496831 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 15:12:29.8615002 GameState.DebugPrintPower() -         tag=PLAYER_ID value=2
D 15:12:29.8780150 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=61
D 15:12:29.8900806 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 15:12:29.9014375 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 15:12:29.9136980 GameState.DebugPrintPower() -         tag=TEAM_ID value=2
D 15:12:29.9264709 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 15:12:29.9406151 GameState.DebugPrintPower() -         tag=ENTITY_ID value=3
D 15:12:29.9548219 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 15:12:29.9725414 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=4 CardID=CS2_168
D 15:12:29.9887880 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.0021646 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.0155170 GameState.DebugPrintPower() -     tag=COST value=1
D 15:12:30.0290988 GameState.DebugPrintPower() -     tag=HEALTH value=1
D 15:12:30.0408060 GameState.DebugPrintPower() -     tag=ATK value=2
D 15:12:30.0586312 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.0696299 GameState.DebugPrintPower() -     tag=ENTITY_ID value=4
D 15:12:30.0805927 GameState.DebugPrintPower() -     tag=FACTION value=ALLIANCE
D 15:12:30.0896029 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.0999430 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=1
D 15:12:30.1105976 GameState.DebugPrintPower() -     tag=479 value=2
D 15:12:30.1211922 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=5 CardID=CS2_120
D 15:12:30.1316773 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.1438411 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.1538185 GameState.DebugPrintPower() -     tag=COST value=2
D 15:12:30.1638092 GameState.DebugPrintPower() -     tag=HEALTH value=3
D 15:12:30.1748962 GameState.DebugPrintPower() -     tag=ATK value=2
D 15:12:30.1859396 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.1980594 GameState.DebugPrintPower() -     tag=ENTITY_ID value=5
D 15:12:30.2091868 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.2187797 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=2
D 15:12:30.2559199 GameState.DebugPrintPower() -     tag=479 value=2
D 15:12:30.2659141 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=6 CardID=CS2_120
D 15:12:30.2765140 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.2856513 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.2955159 GameState.DebugPrintPower() -     tag=COST value=2
D 15:12:30.3048025 GameState.DebugPrintPower() -     tag=HEALTH value=3
D 15:12:30.3146234 GameState.DebugPrintPower() -     tag=ATK value=2
D 15:12:30.3246246 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.3346187 GameState.DebugPrintPower() -     tag=ENTITY_ID value=6
D 15:12:30.3448180 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.3559502 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=2
D 15:12:30.3666481 GameState.DebugPrintPower() -     tag=479 value=2
D 15:12:30.3762038 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=7 CardID=CS2_124
D 15:12:30.3878946 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.3968939 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.4076407 GameState.DebugPrintPower() -     tag=COST value=3
D 15:12:30.4171058 GameState.DebugPrintPower() -     tag=HEALTH value=1
D 15:12:30.4276410 GameState.DebugPrintPower() -     tag=ATK value=3
D 15:12:30.4377276 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.4468348 GameState.DebugPrintPower() -     tag=ENTITY_ID value=7
D 15:12:30.4558381 GameState.DebugPrintPower() -     tag=CHARGE value=1
D 15:12:30.4650739 GameState.DebugPrintPower() -     tag=FACTION value=HORDE
D 15:12:30.4736161 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.4829804 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=3
D 15:12:30.4923416 GameState.DebugPrintPower() -     tag=479 value=3
D 15:12:30.5014893 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=8 CardID=CS2_213
D 15:12:30.5114913 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.5204940 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.5311271 GameState.DebugPrintPower() -     tag=COST value=6
D 15:12:30.5410332 GameState.DebugPrintPower() -     tag=HEALTH value=2
D 15:12:30.5511793 GameState.DebugPrintPower() -     tag=ATK value=5
D 15:12:30.5617692 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.5708550 GameState.DebugPrintPower() -     tag=ENTITY_ID value=8
D 15:12:30.5805755 GameState.DebugPrintPower() -     tag=CHARGE value=1
D 15:12:30.5914955 GameState.DebugPrintPower() -     tag=FACTION value=HORDE
D 15:12:30.6004917 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.6105296 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=6
D 15:12:30.6205709 GameState.DebugPrintPower() -     tag=479 value=5
D 15:12:30.6305641 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=9 CardID=CS2_142
D 15:12:30.6435747 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.6535604 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.6653229 GameState.DebugPrintPower() -     tag=COST value=2
D 15:12:30.6763207 GameState.DebugPrintPower() -     tag=HEALTH value=2
D 15:12:30.6878293 GameState.DebugPrintPower() -     tag=ATK value=2
D 15:12:30.6970155 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
D 15:12:30.7069482 GameState.DebugPrintPower() -     tag=ENTITY_ID value=9
D 15:12:30.7166861 GameState.DebugPrintPower() -     tag=SPELLPOWER value=1
D 15:12:30.7256603 GameState.DebugPrintPower() -     tag=FACTION value=HORDE
D 15:12:30.7376097 GameState.DebugPrintPower() -     tag=RARITY value=FREE
D 15:12:30.7476034 GameState.DebugPrintPower() -     tag=TAG_LAST_KNOWN_COST_IN_HAND value=2
D 15:12:30.7577592 GameState.DebugPrintPower() -     tag=479 value=2
D 15:12:30.7664885 GameState.DebugPrintPower() - FULL_ENTITY - Creating ID=10 CardID=EX1_011
D 15:12:30.7755319 GameState.DebugPrintPower() -     tag=CONTROLLER value=1
D 15:12:30.7844608 GameState.DebugPrintPower() -     tag=CARDTYPE value=MINION
D 15:12:30.7965133 GameState.DebugPrintPower() -     tag=COST value=1
D 15:12:30.8056610 GameState.DebugPrintPower() -     tag=HEALTH value=1
D 15:12:30.8147362 GameState.DebugPrintPower() -     tag=ATK value=2
D 15:12:30.8267859 GameState.DebugPrintPower() -     tag=ZONE value=SETASIDE
